index,Timestamp,Age,0,1,FOS,ThemeN,ThemeNo
0,10/21/2021 22:25,24,0,1,11,3,3
1,10/22/2021 22:25,24,0,1,11,5,5
2,10/23/2021 22:25,24,0,1,11,9,9
3,10/24/2021 22:25,24,0,1,11,11,11
4,10/21/2021 22:27,24,0,1,24,1,1
5,11/4/2021 17:49,25,1,0,11,1,1
6,11/4/2021 17:49,25,1,0,15,1,1
7,11/5/2021 17:49,25,1,0,15,8,8
8,11/6/2021 17:49,25,1,0,15,15,15
9,11/4/2021 17:49,25,0,1,24,1,1
10,11/4/2021 17:50,24,0,1,15,4,4
11,11/4/2021 17:52,24,1,0,11,1,1
12,11/4/2021 17:53,26,1,0,11,1,1
13,11/5/2021 17:53,26,1,0,11,4,4
14,11/6/2021 17:53,26,1,0,11,5,5
15,11/4/2021 17:54,24,1,0,24,17,17
16,11/4/2021 17:56,19,1,0,15,1,1
17,11/4/2021 17:56,24,1,0,24,8,8
18,11/4/2021 17:56,24,0,1,11,4,4
19,11/4/2021 17:57,24,1,0,11,4,4
20,11/4/2021 17:58,25,0,1,14,7,7
21,11/4/2021 17:58,25,0,1,11,1,1
22,11/5/2021 17:58,25,0,1,11,4,4
23,11/4/2021 18:01,24,1,0,14,1,1
24,11/5/2021 18:01,24,1,0,14,4,4
25,11/6/2021 18:01,24,1,0,14,5,5
26,11/4/2021 18:03,24,0,1,5,8,8
27,11/4/2021 18:04,25,0,1,6,1,1
28,11/4/2021 18:04,26,0,1,7,1,1
29,11/4/2021 18:05,19,1,0,19,6,6
30,11/5/2021 18:05,19,1,0,19,12,12
31,11/6/2021 18:05,19,1,0,19,14,14
32,11/7/2021 18:05,19,1,0,19,17,17
33,11/8/2021 18:05,19,1,0,19,18,18
34,11/9/2021 18:05,19,1,0,19,19,19
35,11/4/2021 18:12,25,0,1,5,1,1
36,11/4/2021 18:12,27,0,1,0,8,8
37,11/4/2021 18:14,25,1,0,11,1,1
38,11/5/2021 18:14,25,1,0,11,8,8
39,11/6/2021 18:14,25,1,0,11,11,11
40,11/4/2021 18:15,23,0,1,11,2,2
41,11/4/2021 18:16,25,0,1,11,1,1
42,11/5/2021 18:16,25,0,1,11,2,2
43,11/6/2021 18:16,25,0,1,11,9,9
44,11/4/2021 18:16,25,0,1,14,4,4
45,11/4/2021 18:19,25,0,1,11,1,1
46,11/4/2021 18:20,25,0,1,6,5,5
47,11/4/2021 18:21,23,0,1,11,5,5
48,11/4/2021 18:21,24,1,0,14,12,12
49,11/5/2021 18:21,24,1,0,14,13,13
50,11/6/2021 18:21,24,1,0,14,16,16
51,11/4/2021 18:22,26,0,1,11,1,1
52,11/5/2021 18:22,26,0,1,11,2,2
53,11/6/2021 18:22,26,0,1,11,4,4
54,11/7/2021 18:22,26,0,1,11,5,5
55,11/8/2021 18:22,26,0,1,11,7,7
56,11/4/2021 18:23,29,0,1,11,1,1
57,11/4/2021 18:24,25,0,1,11,5,5
58,11/4/2021 18:26,25,1,0,14,7,7
59,11/4/2021 18:29,25,0,1,14,8,8
60,11/5/2021 18:29,25,0,1,14,14,14
61,11/4/2021 18:31,25,1,0,15,20,20
62,11/4/2021 18:32,25,0,1,15,5,5
63,11/4/2021 18:34,27,0,1,15,1,1
64,11/5/2021 18:34,27,0,1,15,5,5
65,11/6/2021 18:34,27,0,1,15,7,7
66,11/7/2021 18:34,27,0,1,15,15,15
67,11/4/2021 18:34,27,0,1,11,5,5
68,11/5/2021 18:34,27,0,1,11,14,14
69,11/6/2021 18:34,27,0,1,11,18,18
70,11/4/2021 18:35,25,0,1,0,4,4
71,11/5/2021 18:35,25,0,1,0,5,5
72,11/6/2021 18:35,25,0,1,0,8,8
73,11/7/2021 18:35,25,0,1,0,11,11
74,11/4/2021 18:39,25,1,0,14,5,5
75,11/4/2021 18:45,25,1,0,19,1,1
77,11/4/2021 18:47,25,0,1,5,7,7
78,11/4/2021 18:49,23,0,1,11,1,1
80,11/4/2021 18:54,24,0,1,11,1,1
81,11/4/2021 18:58,25,0,1,6,4,4
82,11/4/2021 19:08,25,0,1,18,1,1
83,11/5/2021 19:08,25,0,1,18,4,4
84,11/6/2021 19:08,25,0,1,18,5,5
85,11/7/2021 19:08,25,0,1,18,8,8
86,11/4/2021 19:10,24,1,0,18,1,1
87,11/5/2021 19:10,24,1,0,18,4,4
88,11/4/2021 19:10,19,1,0,18,3,3
89,11/5/2021 19:10,19,1,0,18,13,13
90,11/6/2021 19:10,19,1,0,18,16,16
91,11/7/2021 19:10,19,1,0,18,19,19
92,11/4/2021 19:14,19,1,0,6,4,4
93,11/4/2021 19:14,22,0,1,11,1,1
94,11/4/2021 19:20,24,1,0,11,2,2
95,11/4/2021 19:20,25,0,1,11,1,1
96,11/4/2021 19:22,25,0,1,11,1,1
97,11/4/2021 19:23,24,1,0,18,1,1
98,11/4/2021 19:23,24,0,1,11,7,7
99,11/4/2021 19:27,24,0,1,11,1,1
100,11/4/2021 19:30,24,0,1,24,1,1
102,11/4/2021 19:34,24,0,1,24,1,1
103,11/4/2021 19:41,24,0,1,18,1,1
104,11/5/2021 19:41,24,0,1,18,4,4
105,11/6/2021 19:41,24,0,1,18,5,5
106,11/4/2021 19:49,22,0,1,1,1,1
107,11/4/2021 19:51,21,0,1,5,4,4
108,11/4/2021 19:53,18,1,0,5,4,4
109,11/4/2021 20:09,18,1,0,11,4,4
110,11/4/2021 20:22,24,0,1,11,1,1
111,11/4/2021 20:38,23,1,0,5,1,1
112,11/5/2021 20:38,23,1,0,5,4,4
113,11/6/2021 20:38,23,1,0,5,5,5
114,11/4/2021 20:42,29,1,0,12,11,11
116,11/4/2021 20:44,18,0,1,6,4,4
117,11/4/2021 20:47,24,0,1,11,1,1
118,11/5/2021 20:47,24,0,1,11,4,4
119,11/6/2021 20:47,24,0,1,11,7,7
120,11/7/2021 20:47,24,0,1,11,13,13
121,11/8/2021 20:47,24,0,1,11,14,14
122,11/9/2021 20:47,24,0,1,11,16,16
123,11/10/2021 20:47,24,0,1,11,17,17
124,11/4/2021 20:56,24,1,0,24,13,13
125,11/5/2021 20:56,24,1,0,24,15,15
126,11/6/2021 20:56,24,1,0,24,19,19
127,11/4/2021 21:00,23,1,0,5,7,7
128,11/4/2021 21:18,27,0,1,6,4,4
129,11/4/2021 21:24,25,0,1,12,1,1
130,11/4/2021 21:29,25,0,1,0,15,15
131,11/5/2021 21:29,25,0,1,0,17,17
132,11/4/2021 21:32,23,1,0,12,1,1
134,11/4/2021 22:10,22,1,0,11,1,1
135,11/5/2021 22:10,22,1,0,11,13,13
136,11/4/2021 22:12,25,1,0,9,1,1
137,11/4/2021 22:14,26,1,0,0,8,8
138,11/4/2021 22:16,23,0,1,0,1,1
139,11/4/2021 22:18,23,1,0,12,1,1
140,11/5/2021 22:18,23,1,0,12,9,9
141,11/5/2021 22:18,23,1,0,12,14,14
142,11/6/2021 22:18,23,1,0,12,20,20
143,11/4/2021 22:23,19,1,0,1,11,11
144,11/4/2021 22:52,24,1,0,24,1,1
145,11/4/2021 23:00,30,0,1,11,4,4
146,11/4/2021 23:23,37,1,0,12,3,3
147,11/5/2021 23:23,37,1,0,12,6,6
148,11/6/2021 23:23,37,1,0,12,13,13
149,11/4/2021 23:34,25,0,1,6,3,3
150,11/4/2021 23:47,23,0,1,11,1,1
151,11/5/2021 0:10,20,0,1,6,1,1
152,11/5/2021 0:26,25,0,1,14,1,1
153,11/6/2021 0:26,25,0,1,14,8,8
154,11/5/2021 0:26,25,0,1,5,4,4
155,11/5/2021 1:02,23,0,1,6,5,5
156,11/5/2021 3:11,24,0,1,5,8,8
157,11/6/2021 3:11,24,0,1,5,13,13
158,11/7/2021 3:11,24,0,1,5,15,15
159,11/5/2021 7:17,24,0,1,0,5,5
160,11/5/2021 7:56,23,0,1,11,1,1
161,11/5/2021 8:20,21,1,0,11,13,13
162,11/6/2021 8:20,21,1,0,11,17,17
164,11/5/2021 9:38,24,1,0,24,7,7
165,11/5/2021 9:57,25,1,0,0,14,14
166,11/5/2021 10:02,24,1,0,11,5,5
167,11/5/2021 10:32,25,1,0,1,2,2
168,11/5/2021 10:32,25,1,0,11,1,1
169,11/5/2021 10:47,18,0,1,11,1,1
170,11/6/2021 10:47,18,0,1,11,4,4
171,11/5/2021 11:49,25,0,1,1,4,4
172,11/6/2021 11:49,25,0,1,1,5,5
173,11/5/2021 11:58,24,1,0,0,1,1
174,11/6/2021 11:58,24,1,0,0,5,5
175,11/7/2021 11:58,24,1,0,0,8,8
176,11/8/2021 11:58,24,1,0,0,19,19
177,11/5/2021 12:19,24,1,0,11,9,9
179,11/5/2021 13:33,25,0,1,11,17,17
180,11/5/2021 13:36,25,0,1,11,1,1
181,11/6/2021 13:36,25,0,1,11,8,8
182,11/7/2021 13:36,25,0,1,11,19,19
183,11/5/2021 14:01,25,1,0,19,1,1
184,11/6/2021 14:01,25,1,0,19,9,9
185,11/5/2021 14:31,18,1,0,1,4,4
186,11/5/2021 15:20,27,1,0,24,1,1
187,11/5/2021 15:59,23,0,1,11,1,1
188,11/5/2021 16:29,28,1,0,11,7,7
189,11/5/2021 18:57,27,1,0,24,8,8
190,11/6/2021 7:48,24,1,0,6,11,11
191,11/7/2021 1:45,25,0,1,6,4,4
192,11/7/2021 12:23,24,0,1,6,1,1
193,11/8/2021 12:23,24,0,1,6,4,4
194,11/9/2021 12:23,24,0,1,6,10,10
195,12/12/2021 15:12,23,1,0,1,1,1
196,12/12/2021 15:14,26,1,0,0,4,4
197,12/12/2021 15:18,23,1,0,11,8,8
198,12/13/2021 15:18,23,1,0,11,18,18
199,12/12/2021 15:20,23,0,1,24,8,8
200,12/12/2021 15:25,23,0,1,11,1,1
201,12/12/2021 15:25,24,1,0,0,1,1
202,12/13/2021 15:25,24,1,0,0,14,14
203,12/12/2021 15:26,23,1,0,20,5,5
204,12/13/2021 15:26,23,1,0,20,15,15
205,12/12/2021 15:43,22,1,0,24,13,13
206,12/13/2021 15:43,22,1,0,24,17,17
207,12/14/2021 15:43,22,1,0,24,18,18
208,12/12/2021 16:01,24,1,0,24,7,7
209,12/12/2021 16:07,24,1,0,20,4,4
210,12/12/2021 16:08,23,0,1,1,2,2
211,12/12/2021 16:10,25,0,1,20,1,1
212,12/12/2021 16:27,24,1,0,20,8,8
213,12/13/2021 16:27,24,1,0,20,11,11
214,12/14/2021 16:27,24,1,0,20,18,18
215,12/12/2021 16:29,24,1,0,11,8,8
216,12/12/2021 16:51,25,1,0,24,1,1
217,12/12/2021 17:01,23,0,1,11,5,5
218,12/12/2021 17:28,23,1,0,6,5,5
219,12/12/2021 17:29,23,1,0,6,13,13
